"Bob","I like trains","abc123","{""livesLost"":0,""monstersSlain"":0,""totalGold"":100,""itemsFound"":0}"
"Jack","A really cool person!","Password123",""
"Jack","A really cool person!","Password123",""
"Rick","Another cool person!","xyz987",""
"Jack","A really cool person!","Password123",""
"Jack","A really cool person!","Password123",""
"Jack","A really cool person!","Password123",""
"Jack","A really cool person!","Password123",""
"Bob","I like trains","abc123","{""livesLost"":0,""monstersSlain"":0,""totalGold"":100,""itemsFound"":0}"
"Bob","I like trains","abc123","{""livesLost"":0,""monstersSlain"":0,""totalGold"":100,""itemsFound"":0}"
"Jack","A really cool person!","Password123",""
"Jack","A really cool person!","Password123",""
"Bob","I like trains","abc123","{""livesLost"":0,""monstersSlain"":0,""totalGold"":100,""itemsFound"":0}"
"Jack","A really cool person!","Password123",""
"Jack","A really cool person!","Password123",""
"Rick","Another cool person!","xyz987",""
"Bob","I like trains","abc123","{""livesLost"":0,""monstersSlain"":0,""totalGold"":100,""itemsFound"":0}"
"Bob","I like trains","abc123","{""livesLost"":0,""monstersSlain"":0,""totalGold"":100,""itemsFound"":0}"
"Jack","A really cool person!","Password123",""
"Jack","A really cool person!","Password123",""
"Bob","I like trains","abc123","{""livesLost"":0,""monstersSlain"":0,""totalGold"":100,""itemsFound"":0}"
"Jack","A really cool person!","Password123",""
"Jack","A really cool person!","Password123",""
"Rick","Another cool person!","xyz987",""
"Bob","I like trains","abc123","{""livesLost"":0,""monstersSlain"":0,""totalGold"":100,""itemsFound"":0}"
"Bob","I like trains","abc123","{""livesLost"":0,""monstersSlain"":0,""totalGold"":100,""itemsFound"":0}"
"Jack","A really cool person!","Password123",""
"Jack","A really cool person!","Password123",""
"Jack","A cool player","Testing",""
"Jack","A cool player","Testing",""
"Jack","A cool player","Testing",""
"Jack","A cool player","Testing",""
"Jack","A cool player","Testing",""
"Jack","A cool player","Testing",""
"Jack","A cool player","Testing",""
"Jack","A cool player","Testing",""
"Jack","A cool player","Testing",""
"Jack","A cool player","Testing",""
"Jack","A cool player","Testing",""
"Jack","A cool player","Testing",""
